БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
«НОВОРАХИНСКИЙ» КОЛХОЗ;(81659) 5-12-39
«НОВСВИН» ООО;(8162) 94-83-10, 94-83-11
«НОВЫЙ ДВОР» ООО;(81650) 6-15-07
«ОЗЕРКИ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81659) 5-13-16, 5-13-48, 5-45-36
«ОКТЯБРЬСКИЙ» КОЛХОЗ;(81662) 6-72-20
«ОСТРОВ» КОЛХОЗ;(81659) 5-48-10
«ПАРФИНСКИЙ» КОЛХОЗ;(81650) 6-61-80
«ПЕРЕДОЛЬСКОЕ» ООО;(81661) 2-72-22
«ПЕРЕЛУЧИ» КОЛХОЗ;(81664) 9-89-33
«ПЕРЕЛУЧСКОЕ» ООО;(81664) 9-12-11
«ПЕСОЧКИ» ООО;(81655) 3-04-47
«ПЕТРОВО» ООО;(81653) 6-32-30
«ПОЛИСТЬ» ООО;(81658) 7-79-50
«ПОСАД» ООО;(81664) 9-33-65
«ПРОГРЕСС» КОЛХОЗ;(81664) 4-75-16
«ПРОГРЕСС» КОЛХОЗ;(8162) 74-54-31, 74-78-25
«ПРОЖЕКТОР» ООО;(81656) 5-47-10
«ПРОСТОР ПЛЮС» ООО;(81651) 9-63-25
«ПУТИЛОВЕЦ» КОЛХОЗ;(81657) 4-51-67
«ПУТЬ ЛЕНИНА» КОЛХОЗ;(81669) 5-33-47
«ПУТЬ ЛЕНИНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81652) 7-13-46, 7-13-43
«РАДУГА» ООО;(81667) 5-29-60
«РАССВЕТ» ЗАО;(81652) 5-61-89
«РЕШАЮЩИЙ» ООО;(81664) 9-57-56
«РОДИНА» КОЛХОЗ;(81667) 5-37-19
«РОДИНА» ООО;(81664) 4-16-89, 5-64-97
«РОСА» ЗАО;(81668) 6-32-10
«РОССИЯ» КОЛХОЗ;(81655) 2-42-13, 2-42-24
«РУНА» ООО;(81663) 2-18-97
«РУССКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ РЕСУРС» ООО;(921) 208-99-26
«РУСЬ» КОЛХОЗ;(81657) 4-51-67
«РУСЬ» КОЛХОЗ;(81659) 5-32-60
«РУСЬ» ООО;(81653) 6-91-82
«РУСЬ» ООО;(81651) 4-21-48
«САВИНО» ЗАО;(8162) 77-44-61
«САДКО» ЗАО;(81661) 2-82-43
«СЕЛИЩИ» ООО;(81665) 4-34-83
«СОЮЗ» КОЛХОЗ;(81652) 7-31-17
«СТАРОРУССКОЕ» ООО;(81652) 7-27-43, 7-27-41
«СУВОРОВСКОЕ» ООО;(81664) 9-85-48
«СУСОЛОВО» АГРОКОМПЛЕКС (ООО);(81652) 7-21-31
«ТЕМП» КОЛХОЗ;(81657) 2-20-58
«ТРЕГУБОВО» ОАО;(81665) 4-32-47, 5-46-67
«ТРУБИЧИНО» ООО;(8162) 74-11-33, 74-16-82
«ТУРСКАЯ ГОРКА» КОЛХОЗ;(81656) 5-24-25
«УРОЖАЙ» КОЛХОЗ;(8162) 74-91-40
«УСТРЕКА» КОЛХОЗ;(81653) 6-71-21
«УСТЬВОЛМСКИЙ» АГРОХОЛДИНГ (ООО);(8162) 50-21-14
«ФЕРМЕР-СЕРВИС» ООО;(81650) 6-75-50
«ШЕЛОНСКИЙ» ООО;(81655) 3-04-41
«ШЕЛОНЬ» ООО;(81655) 2-47-14
«ЭКГ-АГРО» ООО;(921) 843-55-85
«ЯВАНЬ» ООО;"(8162) 73-77-17, 67-64-12; (81651) 4-21-48"
«ЯКОВЛЕВА С.А.» КРЕСТЬЯНСКОЕ ХОЗЯЙСТВО (ООО);(81664) 9-42-32
КОЛХОЗ ИМЕНИ АЛЕКСАНДРА НЕВСКОГО;(81131) 3-75-23
КОЛХОЗ ИМЕНИ КИРОВА;(81131) 9-35-11, 2-15-43
КОЛХОЗ ИМЕНИ СУВОРОВА;(81144) 9-35-18, 9-35-24
КОЛХОЗ ИМЕНИ ЧАПАЕВА;(81144) 9-31-22, 9-31-08
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ А.С.ПУШКИНА;(81146) 2-31-72
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ КИРОВА;(81136) 9-55-24, 9-34-40
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ КУЙБЫШЕВА;(81153) 2-34-44, 2-33-22, 2-33-43
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ МИЧУРИНА;(81138) 2-61-96
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ МИЧУРИНА;(81135) 2-37-81, 2-37-21
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ МИЧУРИНА;(81132) 5-46-40
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ СУВОРОВА;(81148) 9-55-30
ФИЛИАЛ ПТИЦЕФАБРИКИ «ОСТРОВСКАЯ» (ОАО);(81152) 9-23-21
«АВАНГАРД» ЗАО;(81153) 5-24-05, 3-08-52
«АВГУСТ-АГРО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(81153) 5-02-81; (911) 350-25-87"
«АЛЕКСЕЕВСКОЕ» ООО;(931) 902-09-50
«БЕЛОГУЛЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ОАО);"(81146) 9-35-31; (960) 220-49-55"
«БЕРЕЗА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81134) 7-65-35, 7-65-47
«БОРКИ» ПТИЦЕФАБРИКА (ООО);(81153) 2-31-36, 2-31-43, 2-31-34, 2-31-37
«БОРОК» ОТДЕЛЕНИЕ ООО «НАДЕЖДА»;"(81152) 9-82-72; (921) 506-20-01"
«БЫСТРЕЦОВО» ПЛОДОПИТОМНИЧЕСКИЙ СОВХОЗ;(8112) 17-52-42, 18-12-42
«ВЕЛИКОЛУКСКОЕ» ООО;(81153) 2-72-57
«ВЕЛИКОРЕЦКИЙ» ОАО;(81152) 9-58-22, 9-58-21
«ВЕСЕННИЙ ЛУЧ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81142) 9-16-70, 9-67-40
«ВОЛНА» ЗАО;(81142) 9-75-46, 9-75-30
«ВОСХОД» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81135) 2-45-44, 2-45-46
«ВЫБОР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81143) 2-51-58, 2-52-65
«ВЫМПЕЛ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81137) 2-19-63, 2-12-31
«ВЯЗЬЕ» ПЛЕМЗАВОД (ОАО);(81136) 9-66-06
«ГЛУБОКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81138) 3-44-31
«ГОЛУБООЗЕРСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81151) 9-91-16, 2-91-16
«ГОРАИ» ОАО;(81152) 9-53-23
«ГРАИНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81137) 9-51-35, 2-51-35
«ДВОРЦЫ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81141) 9-51-22
«ДОБРЫВИЧИ» ОАО;(81141) 9-96-43, 2-30-05, 2-30-11
«ДРУЖБА» ОАО;(81141) 2-21-60, 2-30-05, 2-30-11
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81135) 2-35-24, 2-35-25
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(81146) 9-46-60; (911) 354-72-76"
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81134) 4-51-33, 9-51-47
«ДУБИШНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81136) 9-83-25, 9-83-44, 9-34-40
«ДУБРОВКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81140) 9-25-46, 2-25-49
«ДУБРОВКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81136) 9-85-41, 9-85-25, 9-34-40
«ДУБРОВНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81134) 7-31-43, 7-31-19
«ДУБРОВО» АПК (ОАО);(8112) 17-48-37, 17-48-14
«ДУЛОВСКИЙ» ОАО;"(81152) 9-54-21; (921) 114-43-47"
«ЕРШОВСКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(8112) 17-98-32, 17-98-34
«ЖАДРИЦЫ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81143) 9-11-36, 9-11-49
«ЖОГОВСКОЕ-2? ООО;(81147) 9-36-23, 9-35-64
«ЗАРЕЦКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81146) 9-41-29
«ЗАРЯ» КОЛХОЗ;(81134) 9-31-91
«ЗАРЯ» ОАО;(8112) 17-79-19
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81149) 2-12-53
«ЗАХАРИНСКИЙ» ООО;(81144) 2-12-13, 2-21-37, 2-62-13
«ЗВЕЗДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81132) 5-42-33
«ЗНАМЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ООО);(81136) 9-43-44, 9-34-40
«ИЗБОРСК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81148) 9-66-44, 2-66-44
«ИЛЬИНСКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81137) 9-45-39
«ИСКРА» ООО;(81153) 2-83-41, 3-08-52
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81139) 3-81-23, 3-81-95
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81143) 2-26-92, 2-14-26
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81134) 4-81-46, 9-31-60
«ИСКРА» СЕЛЬХОЗПРЕДПРИЯТИЕ;(81152) 9-91-35
«ИССА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81138) 9-68-36, 2-68-36
«ИССА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(81146) 9-31-21; (921) 216-23-28"
«КАЧАНОВО» АГРОФИРМА (ООО);(81145) 3-31-21
«КОЛОС» ОАО;(81153) 2-42-63, 3-08-52
«КОЛОС» ОАО;(81144) 9-28-94, 2-26-39
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81151) 3-31-39
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81145) 2-18-21, 2-11-70
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81132) 5-72-73
«КОММУНАР» ООО;(81131) 9-78-19
«КОММУНАР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81149) 9-41-10, 2-41-10
«КОРМА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(911) 350-03-86
«КРАСНАЯ ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81141) 2-14-72, 2-30-05, 2-30-11
«КРАСНАЯ ПОЛЯНА» ООО;(81144) 9-43-32, 9-43-10
«КРАСНОАРМЕЙСКОЕ» ТОО;(81134) 6-55-24
«КРАСНОГОРОДСКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81137) 9-41-39
«КРАСНОЕ ЗНАМЯ» ООО;(81153) 2-04-48, 2-02-47
«КРАСНОЕ ЗНАМЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81144) 2-53-72, 2-53-39, 2-53-16
«КРАСНЫЙ ВЫБОРЖЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81149) 2-24-39, 2-24-33
«КРАСНЫЙ ОКТЯБРЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81138) 9-62-25, 2-65-25
«КРАСНЫЙ ПАХАРЬ» КОЛХОЗ;(81153) 2-67-42
«КРАСНЫЙ РЫБАК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81153) 7-39-22, 7-19-51
«КРЕСТИЛОВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81139) 3-33-22, 3-33-46
«КРУТЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81136) 9-51-47, 9-34-40
«ЛЕНИНСКИЙ ПУТЬ» КОЛХОЗ;(81134) 7-73-28, 2-38-39
«ЛЕНИНСКИЙ ПУТЬ» ОАО;(81141) 2-22-20
«ЛЕНИНСКИЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81146) 9-36-16
«ЛОВАТЬ» ОТДЕЛЕНИЕ ООО «ЭКОСЕЛЬХОЗИНВЕСТ-4?;(81139) 3-62-21
«ЛУЧ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81139) 2-14-06, 2-11-87
«ЛЯДЫ» ООО;(81133) 2-65-22, 2-62-50
«МАЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81144) 9-41-46, 9-42-32
«МЕТАЛЛИСТ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(8112) 17-60-01, 17-61-17
«МИХАЙЛОВСКОЕ» ОТДЕЛЕНИЕ ООО «ЭКОСЕЛЬХОЗИНВЕСТ-4?;(81139) 3-71-22
«МОЛОДЕЙСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81132) 5-72-95
«НАДЕЖДА» КРЕСТЬЯНСКОЕ ХОЗЯЙСТВО;(81148) 9-46-33
«НАЗИМОВО» ООО;(81144) 2-53-44, 2-53-52
«НАУМЕНКО А.Д.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(81153) 7-27-50, 5-61-29
«НЕВЕЛЬСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81151) 9-92-22
«НЕФЕДОВСКОЕ» ООО;"(81152) 9-67-28, 9-67-70; (921) 001-40-66"
«НИВА» ОАО;(8112) 17-55-16, 17-55-46
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81147) 9-31-81, 2-31-81
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81137) 2-11-31
«НОВАЯ ЖИЗНЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81145) 3-34-85, 3-34-39
«НОВАЯ ЖИЗНЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(81152) 9-53-56; (921) 212-64-27"
«ОБОРОНА СТРАНЫ» ОАО;"(81152) 9-72-27; (911) 382-21-33"
«ОЗЕРНЫЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81141) 9-24-04, 2-30-05, 2-30-11
«ОКТЯБРЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81149) 9-45-30, 2-45-30
«ПАМЯТЬ ИЛЬИЧА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81148) 9-73-51, 9-74-61
«ПАНКРАТОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81135) 2-39-21, 2-39-49
«ПЕРВОМАЙСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81132) 5-43-21
«ПЕРВОМАЙСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81145) 3-43-16, 3-43-80
«ПЕРЕДОВИК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(8112) 67-80-35
«ПОБЕДА» АГРОФИРМА (ЗАО);(8112) 69-31-41
«ПОБЕДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81136) 9-54-23, 9-34-40
«ПОБЕДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81146) 9-47-47
«ПОЖЕРЕВИЦЫ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81136) 9-71-38, 9-73-01
«ПОЛИБИНО» ОАО;(81153) 2-95-47, 2-95-40, 3-08-52
«ПОЛЯНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81149) 9-61-31, 9-61-22
«ПОЛЯНСКИЙ» СЕЛЬХОЗКООПЕРАТИВ;"(81146) 9-34-09; (921) 609-50-20"
«ПРАВДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(81152) 9-41-41; (911) 351-67-23"
«ПРИБОЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81135) 2-51-35, 2-49-61
«ПРОСТОР» ООО;(81151) 9-51-98
«ПСКОВАГРОИНВЕСТ» ООО;(8112) 67-41-16, 67-41-16
«ПСКОВСКАЯ» ПТИЦЕФАБРИКА (ООО);(8112) 67-65-64 (доб. 24-02, 24-23, 24-03)
«ПСКОВСКИЙ» ПЛЕМЕННОЙ КОНЕЗАВОД (СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ);(81134) 6-11-23, 6-11-22
«ПУШКИНОГОРСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81146) 2-12-76
«РАССВЕТ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81151) 2-40-69
«РАССВЕТ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81141) 2-71-60, 2-72-42
«РАССВЕТ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81134) 7-21-51
«РАССВЕТ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81142) 9-65-24, 9-65-30
«РЕВОЛЮЦИЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81132) 5-17-83
«РОДИНА» ОПХ. ГП «КОЛОЖИЦЫ»;(8112) 67-31-88
«РОДИНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81144) 9-37-41, 9-37-60, 9-37-23
«РОДИНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81149) 2-25-57
«РОССИЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81134) 7-43-87, 7-43-33
«САДКО» ТОО;(81133) 2-51-28
«СВЕТОЧ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81135) 2-44-42, 2-44-89
«СВОБОДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81143) 9-41-43
«СЕВЕРОПСКОВСКИЙ» АГРОПРОМЫШЛЕННЫЙ КОМПЛЕКС (ООО);(81133) 2-22-52, 2-15-01
«СКОРДЫ» ООО;(81147) 9-34-65, 2-34-65
«СЛАВКОВСКОЕ» ТОО;(81134) 9-11-30, 9-11-31
«СЛАКТИС» ООО;(81153) 6-50-16
«СМЕНА» ОАО;(81141) 9-57-24, 2-30-05, 2-30-11
«СМЕНА» ОАО;(81141) 9-57-24, 2-30-05, 2-30-11
«СМЕНА» ОАО;(81141) 9-57-24
«СМЕНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(8112) 18-19-19
«СМЕНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81146) 9-43-41, 2-43-41
«СОРОКИНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81136) 9-56-45, 9-56-19, 9-34-40
«СОСОНКА» МУНИЦИПАЛЬНОЕ СЕЛЬХОЗПРЕДПРИЯТИЕ;(81136) 9-47-83
«СТРОИТЕЛЬ-1? ООО;(81131) 2-21-58
«ТРИГОРОД» ООО;(905) 286-31-31
«ТРУЖЕНИК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81152) 9-82-57
«УДАРНИК» ОАО;(81141) 2-23-59
«УДАРНИК» ОАО;+7(811)523-40-07
«УРИЦКОЕ» УЧХОЗ;(81153) 2-35-40
«ШЕЛОНСКИЙ» СОВХОЗ;(81134) 2-40-70, 2-40-98, 2-41-04, 2-40-84
«ШИКИ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81152) 9-83-10
«ШИЛОВО» МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ;(81141) 9-55-19
«ЭКСПРЕСС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81135) 2-41-48, 2-31-17
«ЭТНА» ООО;(81153) 2-51-06
АГРАРНЫЙ КОМПЛЕКС ИМЕНИ В.М.ЗАЙЦЕВА (ОАО);(8142) 78-80-84
КЕМСКИЙ РЫБОВОДНЫЙ ЗАВОД. УЧРЕЖДЕНИЕ «КАРЕЛРЫБВОД»;(81458) 2-09-92
ОБЩЕСТВО ФОРЕЛЕВОДОВ КАРЕЛИИ;(8142) 74-11-71
«АГРАРНЫЙ» СОВХОЗ;(81436) 2-14-90, 2-14-88
«АГРОКОС» АГРАРНЫЙ КОМПЛЕКС (ООО);(81459) 2-28-87, 3-62-66
«ВЕДЛОЗЕРСКИЙ» ПЛЕМЕННОЙ СОВХОЗ (ОАО);(81456) 3-45-33, 3-45-94
«ВИДЛИЦА» АГРОФИРМА;(81436) 2-72-24, 2-74-83, 2-73-39
«ВИЛГА» ОПХ;(8142) 78-67-21, 78-67-23
«ВОЗРОЖДЕНИЕ» ООО;(81450) 3-35-90, 2-21-86, 2-22-51
«ЗАРЯ СЕВЕРА» РЫБОЛОВЕЦКИЙ КОЛХОЗ;(81437) 5-21-48, 3-51-60, 5-20-78, 3-50-60, 5-22-48
«ИЛЬИНСКОЕ» ПЛЕМЕННОЕ ХОЗЯЙСТВО (ОАО);(81436) 2-35-68, 2-33-78, 2-36-88
«КАЛА-РАНТА» ЗАО;"(81450) 3-43-77; (921) 629-97-44"
